"","binomial_syn"
"96","Crocidura erica"
"97","Crocidura fischeri"
"98","Crocidura floweri"
"99","Crocidura glassi"
"100","Crocidura gmelini"
"101","Crocidura grandis"
"102","Crocidura greenwoodi"
"103","Crocidura harenna"
"104","Crocidura hikmiya"
"105","Crocidura hilliana"
"106","Crocidura hispida"
"107","Crocidura hutanis"
"108","Crocidura katinka"
"109","Crocidura lamottei"
"110","Crocidura latona"
"111","Crocidura lea"
"112","Crocidura levicula"
"113","Crocidura lucina"
"114","Crocidura macarthuri"
"115","Crocidura macowi"
"116","Crocidura manengubae"
"117","Crocidura maxi"
"118","Crocidura mindorus"
"119","Crocidura miya"
"120","Crocidura monticola"
"121","Crocidura musseri"
"122","Crocidura nigripes"
"123","Crocidura nimbae"
"124","Crocidura pachyura"
"125","Crocidura palawanensis"
"126","Crocidura paradoxura"
"127","Crocidura parvipes"
"128","Crocidura pergrisea"
"129","Crocidura picea"
"130","Crocidura pitmani"
"131","Crocidura ramona"
"132","Crocidura rhoditis"
"133","Crocidura roosevelti"
"134","Crocidura serezkyensis"
"135","Crocidura susiana"
"136","Crocidura tansaniana"
"137","Crocidura telfordi"
"138","Crocidura thalia"
"139","Crocidura thomensis"
"140","Crocidura voi"
"141","Crocidura xantippe"
"142","Crunomys suncoides"
"143","Cryptonanus agricolai"
"144","Cryptonanus chacoensis"
"145","Cryptonanus guahybae"
"146","Cryptonanus unduaviensis"
"147","Cryptotis brachyonyx"
"148","Cryptotis colombiana"
"149","Cryptotis peruviensis"
"150","Cryptotis tamensis"
"151","Ctenomys coyhaiquensis"
"152","Ctenomys dorbignyi"
"153","Ctenomys lami"
"154","Ctenomys osvaldoreigi"
"155","Ctenomys pilarensis"
"156","Ctenomys roigi"
"157","Ctenomys scagliai"
"158","Ctenomys yolandae"
"159","Cuscomys ashaninka"
"160","Cynopterus nusatenggara"
"161","Dactylonax palpator"
"162","Dasycercus blythi"
"163","Dasypus yepesi"
"164","Dendrolagus notatus"
"165","Dendromus oreas"
"166","Dendroprionomys rousseloti"
"167","Dermanura rosenbergi"
"168","Desmomys yaldeni"
"169","Dipodomys simulans"
"170","Dryomys niethammeri"
"171","Echimys vieirai"
"172","Elephantulus pilicaudus"
"173","Elephantulus revoilii"
"174","Eliurus antsingy"
"175","Eliurus danieli"
"176","Eliurus grandidieri"
"177","Emballonura serii"
"178","Emballonura tiavato"
"179","Eolagurus przewalskii"
"180","Eothenomys chinensis"
"181","Eothenomys custos"
"182","Eothenomys olitor"
"183","Eothenomys proditor"
"184","Eothenomys wardi"
"185","Episoriculus macrurus"
"186","Epomophorus anselli"
"187","Epomophorus minimus"
"188","Equus africanus"
"189","Erethizon dorsatum"
"190","Eudorcas albonotata"
"191","Eulemur rufifrons"
"192","Euroscaptor grandis"
"193","Falsistrellus affinis"
"194","Fukomys anselli"
"195","Fukomys bocagei"
"196","Fukomys damarensis"
"197","Fukomys darlingi"
"198","Fukomys foxi"
"199","Fukomys kafuensis"
"200","Fukomys mechowi"
"201","Fukomys ochraceocinereus"
"202","Fukomys zechi"
"203","Funisciurus duchaillui"
"204","Galagoides cocos"
"205","Galagoides demidovii"
"206","Galagoides nyasae"
"207","Galagoides orinus"
"208","Galagoides rondoensis"
"209","Galagoides zanzibaricus"
"210","Galea monasteriensis"
"211","Galeopterus variegatus"
"212","Genetta bourloni"
"213","Gerbilliscus gambiana"
"214","Gerbillus brockmani"
"215","Gerbillus dunni"
"216","Gerbillus lowei"
"217","Gerbillus principulus"
"218","Gerbillus rupicola"
"219","Glauconycteris curryae"
"220","Glauconycteris machadoi"
"221","Grammomys dryas"
"222","Habromys delicatulus"
"223","Habromys schmidlyi"
"224","Handleyomys alfaroi"
"225","Handleyomys chapmani"
"226","Handleyomys melanotis"
"227","Handleyomys rhabdops"
"228","Handleyomys rostratus"
"229","Handleyomys saturatior"
"230","Harpiola isodon"
"231","Herpestes flavescens"
"232","Herpestes ochraceus"
"233","Herpestes pulverulentus"
"234","Herpestes sanguineus"
"235","Heteromys oasicus"
"236","Heteromys teleus"
"237","Hipposideros boeadii"
"238","Hipposideros edwardshilli"
"239","Hipposideros hypophyllus"
"240","Hipposideros khaokhouayensis"
"241","Hipposideros orbiculus"
"242","Hipposideros rotalis"
"243","Hipposideros scutinares"
"244","Hipposideros sorenseni"
"245","Hipposideros vittatus"
"246","Histiotus alienus"
"247","Histiotus humboldti"
"248","Hoolock hoolock"
"249","Huetia leucorhina"
"250","Hydrochoerus hydrochaeris"
"251","Hydrochoerus isthmius"
"252","Hydromys ziegleri"
"253","Hylaeamys acritus"
"254","Hylaeamys oniscus"
"255","Hylaeamys tatei"
"256","Hylomys megalotis"
"257","Hylopetes winstoni"
"258","Isothrix barbarabrownae"
"259","Juliomys rimofrons"
"260","Juscelinomys guaporensis"
"261","Juscelinomys huanchacae"
"262","Kerivoula kachinensis"
"263","Kerivoula krauensis"
"264","Kerivoula titania"
"265","Kerodon acrobata"
"266","Laonastes aenigmamus"
"267","Lasiopodomys fuscus"
"268","Lasiopodomys mandarinus"
"269","Lasiurus atratus"
"270","Lemniscomys hoogstraali"
"271","Leopardus jacobita"
"272","Lepilemur aeeclis"
"273","Lepilemur ahmansonorum"
"274","Lepilemur betsileo"
"275","Lepilemur fleuretae"
"276","Lepilemur grewcockorum"
"277","Lepilemur hollandorum"
"278","Lepilemur hubbardorum"
"279","Lepilemur jamesorum"
"280","Lepilemur milanoii"
"281","Lepilemur mittermeieri"
"282","Lepilemur otto"
"283","Lepilemur petteri"
"284","Lepilemur randrianasoloi"
"285","Lepilemur sahamalazensis"
"286","Lepilemur scottorum"
"287","Lepilemur seali"
"288","Lepilemur tymerlachsoni"
"289","Lepilemur wrightae"
"290","Lepus fagani"
"291","Limnomys bryophilus"
"292","Lonchophylla chocoana"
"293","Lonchophylla orcesi"
"294","Lonchorhina inusitata"
"295","Lophostoma aequatorialis"
"296","Lophostoma yasuni"
"297","Lophuromys dieterleni"
"298","Lophuromys huttereri"
"299","Lophuromys roseveari"
"300","Loxodontomys pikumche"
"301","Macaca munzala"
"302","Macroscelides flavicaudatus"
"303","Macroscelides micus"
"304","Macrotarsomys petteri"
"305","Marmosa alstoni"
"306","Marmosa constantiae"
"307","Marmosa demerarae"
"308","Marmosa paraguayanus"
"309","Marmosa phaea"
"310","Marmosa regina"
"311","Marmosops creightoni"
"312","Marmosops ocellatus"
"313","Mastomys awashensis"
"314","Mastomys kollmannspergeri"
"315","Maxomys wattsi"
"316","Mazama bororo"
"317","Mazama nemorivaga"
"318","Megadontomys cryophilus"
"319","Megadontomys nelsoni"
"320","Melomys cooperae"
"321","Melomys howi"
"322","Melonycteris fardoulisi"
"323","Meriones arimalius"
"324","Meriones chengi"
"325","Meriones dahli"
"326","Meriones rex"
"327","Mesocapromys angelcabrerai"
"328","Mesomys occultus"
"329","Mico acariensis"
"330","Mico chrysoleucus"
"331","Mico rondoni"
"332","Mico saterei"
"333","Microakodontomys transitorius"
"334","Microcebus arnholdi"
"335","Microcebus bongolavensis"
"336","Microcebus danfossi"
"337","Microcebus gerpi"
"338","Microcebus jollyae"
"339","Microcebus lehilahytsara"
"340","Microcebus macarthurii"
"341","Microcebus mamiratra"
"342","Microcebus margotmarshae"
"343","Microcebus marohita"
"344","Microcebus mittermeieri"
"345","Microcebus simmonsi"
"346","Microgale grandidieri"
"347","Microgale jenkinsae"
"348","Microgale jobihely"
"349","Microgale majori"
"350","Microgale nasoloi"
"351","Micronycteris brosseti"
"352","Micronycteris matses"
"353","Micronycteris sanborni"
"354","Microperoryctes aplini"
"355","Microtus anatolicus"
"356","Microtus clarkei"
"357","Microtus daghestanicus"
"358","Microtus dogramacii"
"359","Microtus evoronensis"
"360","Microtus felteni"
"361","Microtus gerbei"
"362","Microtus hyperboreus"
"363","Microtus mujanensis"
"364","Microtus nasarovi"
"365","Microtus qazvinensis"
"366","Microtus schelkovnikovi"
"367","Mirza zaza"
"368","Mogera uchidai"
"369","Monodelphis handleyi"
"370","Monodelphis palliolata"
"371","Monodelphis reigi"
"372","Monodelphis ronaldi"
"373","Monodelphis umbristriatus"
"374","Moschiola indica"
"375","Moschiola kathygre"
"376","Muntiacus montanus"
"377","Muntiacus puhoatensis"
"378","Muntiacus putaoensis"
"379","Muntiacus truongsonensis"
"380","Muntiacus vaginalis"
"381","Murexia habbema"
"382","Murexia melanurus"
"383","Murexia naso"
"384","Murina harrisoni"
"385","Murina ryukyuana"
"386","Mus baoulei"
"387","Mus callewaerti"
"388","Mus cookii"
"389","Mus crociduroides"
"390","Mus cypriacus"
"391","Mus famulus"
"392","Mus fernandoni"
"393","Mus fragilicauda"
"394","Mus goundae"
"395","Mus haussa"
"396","Mus mattheyi"
"397","Mus oubanguii"
"398","Mus pahari"
"399","Mus saxicola"
"400","Mus terricolor"
"401","Myoictis leucura"
"402","Myoictis wallacei"
"403","Myoictis wavicus"
"404","Myomimus roachi"
"405","Myomimus setzeri"
"406","Myomyscus brockmani"
"407","Myosorex eisentrauti"
"408","Myosorex kihaulei"
"409","Myosorex longicaudatus"
"410","Myosorex okuensis"
"411","Myosorex rumpii"
"412","Myosorex schalleri"
"413","Myosorex sclateri"
"414","Myosorex tenuis"
"415","Myotis alcathoe"
"416","Myotis aurascens"
"417","Myotis csorbai"
"418","Myotis dieteri"
"419","Myotis gomantongensis"
"420","Myotis pilosus"
"421","Myotis rufopictus"
"422","Myotis yanbarensis"
"423","Myzopoda schliemanni"
"424","Natalus espiritosantensis"
"425","Natalus lanatus"
"426","Neacomys dubosti"
"427","Neacomys paracou"
"428","Neacomys pictus"
"429","Necromys benefactus"
"430","Neodon forresti"
"431","Neodon irene"
"432","Neophascogale lorentzii"
"433","Neoromicia matroka"
"434","Nesolagus timminsi"
"435","Nesoryzomys narboroughi"
"436","Nesotragus moschatus"
"437","Neusticomys ferreirai"
"438","Nilgiritragus hylocrius"
"439","Ningaui yvonneae"
"440","Notiosorex cockrumi"
"441","Notiosorex villai"
"442","Nyctophilus heran"
"443","Nyctophilus nebulosus"
"444","Ochotona nigritia"
"445","Ochotona thomasi"
"446","Octodon pacificus"
"447","Oligoryzomys brendae"
"448","Oligoryzomys moojeni"
"449","Oligoryzomys rupestris"
"450","Orthogeomys matagalpae"
"451","Orthogeomys thaeleri"
"452","Otomops johnstonei"
"453","Otomys occidentalis"
"454","Oxymycterus amazonicus"
"455","Oxymycterus caparoae"
"456","Pattonomys occasius"
"457","Pattonomys semivillosus"
"458","Paulamys naso"
"459","Pearsonomys annectens"
"460","Peromyscus schmidlyi"
"461","Petrogale coenensis"
"462","Petrogale mareeba"
"463","Petrogale sharmani"
"464","Petromyscus shortridgei"
"465","Phalanger alexandrae"
"466","Phascogale pirata"
"467","Phataginus tetradactyla"
"468","Phataginus tricuspis"
"469","Philander deltae"
"470","Philander mondolfii"
"471","Philander olrogi"
"472","Phyllomys kerri"
"473","Phyllomys lundi"
"474","Phyllomys mantiqueirensis"
"475","Phyllomys medius"
"476","Phyllomys pattoni"
"477","Phyllotis anitae"
"478","Pipanacoctomys aureus"
"479","Pipistrellus alaschanicus"
"480","Pipistrellus anchietae"
"481","Pipistrellus hanaki"
"482","Pipistrellus raceyi"
"483","Pipistrellus vordermanni"
"484","Pithecheirops otion"
"485","Platyrrhinus albericoi"
"486","Platyrrhinus chocoensis"
"487","Platyrrhinus ismaeli"
"488","Platyrrhinus masu"
"489","Platyrrhinus matapalensis"
"490","Platyrrhinus nigellus"
"491","Plecotus balensis"
"492","Plecotus christii"
"493","Plecotus sardus"
"494","Plecotus taivanus"
"495","Pogonomelomys brassi"
"496","Pogonomelomys bruijnii"
"497","Porcula salvania"
"498","Praomys degraaffi"
"499","Praomys mutoni"
"500","Praomys petteri"
"501","Procolobus gordonorum"
"502","Procolobus kirkii"
"503","Proechimys echinothrix"
"504","Proechimys gardneri"
"505","Proechimys kulinae"
"506","Proedromys bedfordi"
"507","Proedromys liangshanensis"
"508","Pronolagus saundersiae"
"509","Pseudalopex fulvipes"
"510","Pseudantechinus roryi"
"511","Pseudocheirus occidentalis"
"512","Pseudochirulus larvatus"
"513","Pseudohydromys germani"
"514","Pseudois nayaur ssp. schaeferi"
"515","Pseudomys patrius"
"516","Pteralopex flanneryi"
"517","Pteralopex taki"
"518","Pteronotus paraguanensis"
"519","Pteropus griseus"
"520","Pteropus temminckii"
"521","Punomys kofordi"
"522","Rattus adustus"
"523","Rattus arfakienis"
"524","Rattus bontanus"
"525","Rattus enganus"
"526","Rattus hainaldi"
"527","Rattus hoffmanni"
"528","Rattus hoogerwerfi"
"529","Rattus koopmani"
"530","Rattus marmosurus"
"531","Rattus mollicomulus"
"532","Rattus montanus"
"533","Rattus osgoodi"
"534","Rattus palmarum"
"535","Rattus pelurus"
"536","Rattus ranjiniae"
"537","Rattus salocco"
"538","Rattus timorensis"
"539","Rattus xanthurus"
"540","Reithrodontomys bakeri"
"541","Rhagomys longilingua"
"542","Rhinolophus clivosus"
"543","Rhinolophus convexus"
"544","Rhinolophus hillorum"
"545","Rhinolophus maendeleo"
"546","Rhinolophus rufus"
"547","Rhinolophus sakejiensis"
"548","Rhinolophus ziama"
"549","Rhinopithecus strykeri"
"550","Rhipidomys cariri"
"551","Rhogeessa hussoni"
"552","Rhynchocyon udzungwensis"
"553","Rhynchomys banahao"
"554","Rhynchomys tapulao"
"555","Rousettus linduensis"
"556","Rungwecebus kipunji"
"557","Saccopteryx antioquensis"
"558","Salinoctomys loschalchalerosorum"
"559","Santamartamys rufodorsalis"
"560","Saxatilomys paulinae"
"561","Scotophilus celebensis"
"562","Scotophilus marovaza"
"563","Scotophilus tandrefana"
"564","Smutsia gigantea"
"565","Smutsia temminckii"
"566","Sommeromys macrorhinos"
"567","Sorex arunchi"
"568","Sorex buchariensis"
"569","Sorex ixtlanensis"
"570","Sorex kozlovi"
"571","Sorex mediopua"
"572","Sorex pribilofensis"
"573","Sorex rohweri"
"574","Sorex yukonicus"
"575","Soricomys kalinga"
"576","Soricomys musseri"
"577","Spermophilus taurensis"
"578","Sphiggurus ichillus"
"579","Sphiggurus roosmalenorum"
"580","Spilocuscus wilsoni"
"581","Sturnira mistratensis"
"582","Sturnira sorianoi"
"583","Styloctenium mindorensis"
"584","Suncus ater"
"585","Suncus dayi"
"586","Suncus mertensi"
"587","Suncus stoliczkanus"
"588","Sylvilagus obscurus"
"589","Sylvilagus varynaensis"
"590","Sylvisorex isabellae"
"591","Sylvisorex pluvialis"
"592","Tamiops macclellandii"
"593","Tapecomys primus"
"594","Tarsius lariang"
"595","Tarsius tumpara"
"596","Tarsius wallacei"
"597","Tarsomys echinatus"
"598","Taterillus petteri"
"599","Taterillus tranieri"
"600","Thamnomys schoutedeni"
"601","Thomasomys macrotis"
"602","Thomasomys onkiro"
"603","Thomasomys ucucha"
"604","Thylamys citellus"
"605","Thylamys fenestrae"
"606","Thylamys pulchellus"
"607","Thylamys sponsorius"
"608","Thylogale calabyi"
"609","Thylogale lanatus"
"610","Thyroptera devivoi"
"611","Thyroptera lavali"
"612","Tokudaia tokunoshimensis"
"613","Tonkinomys daovantieni"
"614","Toromys grandis"
"615","Tragelaphus derbianus"
"616","Tragelaphus oryx"
"617","Tragulus versicolor"
"618","Trichosurus cunninghami"
"619","Trinomys mirapitanga"
"620","Trinomys moojeni"
"621","Trinomys paratus"
"622","Trinomys yonenagae"
"623","Uromys boeadii"
"624","Voalavo antsahabensis"
"625","Voalavo gymnocaudus"
"626","Volemys millicens"
"627","Volemys musseri"
"628","Wiedomys cerradensis"
"629","Xeronycteris vieirai"
"630","Zaglossus bruijnii"
"631","Zyzomys palatalis"
